Title,Artist,Year,Ranking,URL,Lyrics
God Only Knows,The Beach Boys,1966,11,https://www.genius.com/The-Beach-Boys-God-Only-Knows-lyrics," i may not always love you but long as there are stars above you you never need to doubt it i ll make you so sure about it god only knows what i d be without you if you should ever leave me well, life would still go on, believe me the world could show nothing to me so what good would living do me? god only knows what i d be without you ooh, ooh do, do, do, do, do, do, do bow, buh-bow, buh-bow, buh-bow buh-bow, buh-bow, buh-bow buh-bow, buh-bow, buh-bow, buh-bow god only knows what i d be without you if you should ever leave me well, life would still go on, believe me the world could show nothing to me so what good would living do me? god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you "
Superstition,Stevie Wonder,1972,12,https://www.genius.com/Stevie-Wonder-Superstition-lyrics," very superstitious writing s on the wall very superstitious ladder s  bout to fall thirteen month old baby broke the looking glass seven years of bad luck the good things in your past when you believe in things that you don t understand then you suffer superstition ain t the way, yeah ooh, very superstitious wash your face and hands rid me of the problem do all that you can keep me in a daydream keep me going strong you don t want to save me sad is my song when you believe in things that you don t understand then you suffer superstition ain t the way, yeah very superstitious nothing more to say very superstitious the devil s on his way thirteen month old baby broke the looking glass seven years of bad luck good things in your past when you believe in things that you don t understand then you suffer superstition ain t the way no, no, no"
Gimme Shelter,The Rolling Stones,1969,13,https://www.genius.com/The-Rolling-Stones-Gimme-Shelter-lyrics," ooh-ooh-ooh ooh-ooh-ooh ooh-ooh-ooh ooh-ooh-ooh ooh, a storm is threatening my very life today if i don t get some shelter ooh yeah, i m gonna fade away war, children it s just a shot away it s just a shot away war, children it s just a shot away it s just a shot away, yeah ooh, see the fire is sweepin our very streets today burns like a red-coal carpet mad bull lost your way war, children, yeah it s just a shot away it s just a shot away war, children, yeah it s just a shot away it s just a shot away rape, murder, it s just a shot away it s just a shot away rape, murder, yeah, it s just a shot away it s just a shot away rape, murder it s just a shot away it s just a shot away yeah mmm, a flood is threatening my very life today gimme, gimme shelter or i m going to fade away war, children it s just a shot away it s just a shot away it s just a shot away it s just a shot away it s just a shot away i tell you love, sister it s just a kiss away it s just a kiss away it s just a kiss away it s just a kiss away it s just a kiss away kiss away, kiss away"
Waterloo Sunset,The Kinks,1967,14,https://www.genius.com/The-Kinks-Waterloo-Sunset-lyrics," dirty old river, must you keep rolling flowing into the night? people so busy, make me feel dizzy taxi light shines so bright but i don t need no friends as long as i gaze on waterloo sunset i am in paradise every day i look at the world from my window but chilly, chilly is the evening time waterloo sunset s fine terry meets julie, waterloo station every friday night but i am so lazy, don t want to wander i stay at home at night but i don t feel afraid as long as i gaze on waterloo sunset i am in paradise every day i look at the world from my window but chilly, chilly is the evening time waterloo sunset s fine millions of people swarming like flies  round waterloo underground but terry and julie cross over the river where they feel safe and sound and they don t need no friends as long as they gaze on waterloo sunset they are in paradise waterloo sunset s fine "
I Want to Hold Your Hand,The Beatles,1963,15,https://www.genius.com/The-Beatles-I-Want-to-Hold-Your-Hand-lyrics," oh, yeah, i ll tell you something i think you ll understand when i ll say that something i wanna hold your hand i wanna hold your hand i wanna hold your hand oh, please, say to me you ll let me be your man and please, say to me you ll let me hold your hand now, let me hold your hand i wanna hold your hand and when i touch you i feel happy inside it s such a feeling that, my love i can t hide i can t hide i can t hide yeah, you got that something i think you ll understand when i ll say that something i want to hold your hand i wanna hold your hand i wanna hold your hand and when i touch you i feel happy inside it s such a feeling that, my love i can t hide i can t hide i can t hide yeah, you got that something i think you ll understand when i ll feel that something i wanna hold your hand i wanna hold your hand i wanna hold your hand i wanna hold your hand"
Crazy in Love,Beyonce,2003,16,https://www.genius.com/Beyonce-Crazy-in-Love-lyrics," yes so crazy right now most incredibly it s your girl, b it s your boy, young you ready? uh-oh, uh-oh, uh-oh, oh no, no uh-oh, uh-oh, uh-oh, oh no, no uh-oh, uh-oh, uh-oh, oh no, no uh-oh, uh-oh, uh-oh, oh no, no ch-yeah history in the making part two it s so crazy right now i look and stare so deep in your eyes i touch on you more and more every time when you leave, i m beggin  you not to go call your name two, three times in a row such a funny thing for me to try to explain how i m feelin , and my pride is the one to blame  cause i know i don t understand just how your love can do what no one else can got me looking so crazy right now your love s got me looking so crazy right now got me looking so crazy right now your touch got me looking so crazy right now got me hoping you ll page me right now your kiss got me hoping you ll save me right now looking so crazy, your love s got me looking got me looking so crazy in love uh-oh, uh-oh, uh-oh, oh no, no uh-oh, uh-oh, uh-oh, oh no, no uh-oh, uh-oh, uh-oh, oh no, no uh-oh, uh-oh, uh-oh, oh no, no when i talk to my friends so quietly look at what you did to me tennis shoes, don t even need to buy a new dress if you ain t there, ain t nobody else to impress it s the way that you know what i thought i knew it s the beat that my heart skips when i m with you but i still don t understand just how your love can do what no one else can got me looking so crazy right now your love s got me looking so crazy right now got me looking so crazy right now your touch got me looking so crazy right now got me hoping you ll page me right now your kiss got me hoping you ll save me right now looking so crazy, your love s got me looking got me looking so crazy in love i m looking so crazy, your love s got me looking got me looking so crazy in love young hov, y all know when the flow is loco young b and the r-o-c, uh-oh o.g. big homie, the one and only stick bony, but the pockets is fat like tony soprano the r oc handle like van exel i shake phonies, man, you can t get next to the genuine article, i do not sing, though i sling, though, if anything, i bling, yo a star like ringo, war like a green beret you crazy?  bring your whole set j ay-z in the range, crazy and deranged they can t figure him out, they like,  hey, is he insane?  yes, sir, i m cut from a different cloth my texture is the best fur, chinchilla i ve been iller than chain smokers how you think i got the name hova? i been realer, the game s over fall back, young ever since i made the change over to platinum the game s been a wrap, one got me looking so crazy, my baby i m not myself lately, i m foolish, i don t do this i ve been playing myself, baby, i don t care cause your love s got the best of me and, baby, you re making a fool of me you got me sprung and i don t care who sees cause baby, you got me, you got me you got me so crazy, baby got me looking so crazy right now your love s got me looking so crazy right now got me looking so crazy right now your touch got me looking so crazy right now got me hoping you ll page me right now your kiss got me hoping you ll save me right now looking so crazy, your love s got me looking got me looking so crazy in love got me looking so crazy right now your love s got me looking so crazy right now got me looking so crazy right now your touch got me looking so crazy right now got me hoping you ll page me right now your kiss got me hoping you ll save me right now looking so crazy, your love s got me looking got me looking so crazy in love"
Bohemian Rhapsody,Queen,1975,17,https://www.genius.com/Queen-Bohemian-Rhapsody-lyrics," is this the real life?  is this just fantasy? caught in a landslide, no escape from reality open your eyes, look up to the skies and see i m just a poor boy, i need no sympathy because i m easy come, easy go, little high, little low any way the wind blows doesn t really matter to me, to me mama, just killed a man put a gun against his head, pulled my trigger, now he s dead mama, life had just begun but now i ve gone and thrown it all away mama, ooh, didn t mean to make you cry if i m not back again this time tomorrow carry on, carry on as if nothing really matters too late, my time has come sends shivers down my spine, body s aching all the time goodbye, everybody, i ve got to go gotta leave you all behind and face the truth mama, ooh i don t wanna die i sometimes wish i d never been born at all i see a little silhouetto of a man scaramouche, scaramouche, will you do the fandango? thunderbolt and lightning, very, very frightening me galileo,  galileo, galileo figaro magnifico but i m just a poor boy, nobody loves me he s just a poor boy from a poor family spare him his life from this monstrosity easy come, easy go, will you let me go? bismillah, no, we will not let you go bismillah, we will not let you go bismillah, we will not let you go will not let you go will not let you go ah no, no, no, no, no, no, no mamma mia, let me go beelzebub has a devil put aside for me, for me, for me so you think you can stone me and spit in my eye? so you think you can love me and leave me to die? oh, baby, can t do this to me, baby just gotta get out, just gotta get right outta here nothing really matters, anyone can see nothing really matters nothing really matters to me any way the wind blows"
Purple Rain,Prince and the Revolution,1984,18,https://www.genius.com/Prince-and-the-Revolution-Purple-Rain-lyrics," i never meant to cause you any sorrow i never meant to cause you any pain i only wanted, one time, to see you laughing i only want to see you laughing in the purple rain purple rain, purple rain purple rain, purple rain purple rain, purple rain i only want to see you bathing in the purple rain i never wanted to be your weekend lover i only wanted to be some kind of friend, hey baby, i could never steal you from another it s such a shame our friendship had to end purple rain, purple rain purple rain, purple rain purple rain, purple rain i only want to see you underneath the purple rain honey, i know, i know, i know times are changing it s time we all reach out for something new that means you, too you say you want a leader but you can t seem to make up your mind i think you better close it and let me guide you to the purple rain purple rain, purple rain, yeah purple rain, purple rain, wooo! if you know what i m singing about up here come on, raise your hand purple rain, purple rain, yeah i only want to see you only want to see you in the purple rain"
Imagine,John Lennon,1971,19,https://www.genius.com/John-Lennon-Imagine-lyrics," imagine there s no heaven it s easy if you try no hell below us above us, only sky imagine all the people living for today iimagine there s no countries it isn t hard to do nothing to kill or die for and no religion too imagine all the people living life in peace you you may say i m a dreamer but i m not the only one i hope someday you ll join us and the world will be as one imagine no possessions i wonder if you can no need for greed or hunger a brotherhood of man imagine all the people sharing all the world you you may say i m a dreamer but i m not the only one i hope someday you ll join us and the world will live as one"
Dancing on My Own,Robyn,2010,20,https://www.genius.com/Robyn-Dancing-on-My-Own-lyrics," somebody said you got a new friend does she love you better than i can? it s a big, black sky over my town i know where you at, i bet she s around yeah, i know it s stupid i just gotta see it for myself i m in the corner watchin  you kiss her, oh i m right over here why can t you see me?  oh i m giving it my all but i m not the girl you re takin  home, ooh i keep dancing on my own i keep dancing on my own i m just gonna dance all night i m all messed up, i m so outta line stilettos on broken bottles i m spinnin  around in circles i m in the corner watchin  you kiss her, oh i m right over here why can t you see me?  oh i m giving it my all but i m not the girl you re takin  home, ooh i keep dancing on my own i keep dancing on my own so far away, but still so near the lights go on, the music dies but you don t see me standing here i just came to say goodbye i m in the corner watchin  you kiss her, oh i m giving it my all but i m not the girl you re takin  home, ooh i keep dancing on my own i keep dancing on my own i m in the corner watchin  you kiss her, oh i m right over here why can t you see me?  oh i m giving it my all but i m not the girl you re takin  home, ooh i keep dancing on my own i keep dancing on my own i keep dancing on my own"
Strange Fruit,Billie Holiday,1939,21,https://www.genius.com/Billie-Holiday-Strange-Fruit-lyrics," southern trees bear a strange fruit blood on the leaves and blood at the root black bodies swinging in the southern breeze strange fruit hanging from the poplar trees pastoral scene of the gallant south the bulging eyes and the twisted mouth scent of magnolias, sweet and fresh then the sudden smell of burning flesh here is a fruit for the crows to pluck for the rain to gather, for the wind to suck for the sun to rot, for the tree to drop here is a strange and bitter crop"
Be My Baby,The Ronettes,1963,22,https://www.genius.com/The-Ronettes-Be-My-Baby-lyrics," the night we met i knew i needed you so and if i had the chance i d never let you go so won t you say you love me? i ll make you so proud of me we ll make  em turn their heads every place we go so won t you, please be my little baby?  say you ll be my darlin  be my baby now whoa-oh-oh-oh i ll make you happy, baby, just wait and see for every kiss you give me, i ll give you three oh, since the day i saw you i have been waiting for you you know i will adore you  til eternity so won t you, please be my little baby?  say you ll be my darlin  be my baby now whoa-oh-oh-oh so c mon and be be my little baby?  say you ll be my darlin  be my baby now oh-oh-oh-oh be my little baby?  oh-oh-oh oh woah-oh-oh-oh oh-oh-oh oh be my baby now woah-oh-oh-oh"
Heroes,David Bowie,1977,23,https://www.genius.com/David-Bowie-Heroes-lyrics," i, i will be king and you, you will be queen though nothing will drive them away we can beat them, just for one day we can be heroes, just for one day and you, you can be mean and i, i ll drink all the time cause we re lovers, and that is a fact yes, we re lovers, and that is that though nothing will keep us together we could steal time, just for one day we can be heroes, forever and ever what d you say? i, i wish you could swim like the dolphins, like dolphins can swim though nothing, nothing will keep us together we can beat them forever and ever oh, we can be heroes, just for one day i, i will be king and you, you will be queen though nothing will drive them away we can be heroes, just for one day we can be us, just for one day i, i can remember standing by the wall and the guns shot above our heads and we kissed as though nothing could fall and the shame was on the other side oh, we can beat them forever and ever then we can be heroes, just for one day we can be heroes we can be heroes we can be heroes, just for one day we can be heroes we are nothing, and nothing will help us maybe we re lying, then you better not stay but we could be safer, just for one day oh-oh-oh-oh, oh-oh-oh-oh, just for one day"
A Day in the Life,The Beatles,1967,24,https://www.genius.com/The-Beatles-A-Day-in-the-Life-lyrics," i read the news today, oh boy about a lucky man who made the grade and though the news was rather sad well, i just had to laugh i saw the photograph he blew his mind out in a car he didn t notice that the lights had changed a crowd of people stood and stared they d seen his face before nobody was really sure if he was from the house of lords i saw a film today, oh boy the english army had just won the war a crowd of people turned away but i just had to look having read the book i d love to turn you on woke up, fell out of bed dragged a comb across my head found my way downstairs and drank a cup and looking up i noticed i was late found my coat and grabbed my hat made the bus in seconds flat found my way upstairs and had a smoke and somebody spoke and i went into a dream ah, ah-ah-ah ah-ah-ah, ah-ah-ah ah-ah-ah, ah, ah-ah-ah ah-ah-ah, ah-ah i read the news today, oh boy four thousand holes in blackburn, lancashire and though the holes were rather small they had to count them all now they know how many holes it takes to fill the albert hall i d love to turn you on            "
Runaway,Kanye West,2010,25,https://www.genius.com/Kanye-West-Runaway-lyrics," look at ya, look at ya, look at ya, look at ya look at ya, look at ya, look at ya, look at ya look at ya, look at ya, look at ya, look at ya look at ya, look at ya, look at ya, look at ya and i always find, yeah, i always find something wrong you been puttin  up with my shit just way too long i m so gifted at finding what i don t like the most so i think it s time for us to have a toast let s have a toast for the douchebags let s have a toast for the assholes let s have a toast for the scumbags every one of them that i know let s have a toast for the jerk-offs that ll never take work off baby, i got a plan run away fast as you can she find pictures in my email i sent this bitch a picture of my dick i don t know what it is with females but i m not too good at that shit see, i could have me a good girl and still be addicted to them hoodrats and i just blame everything on you at least you know that s what i m good at and i always find, yeah, i always find yeah, i always find something wrong you been puttin  up with my shit just way too long i m so gifted at finding what i don t like the most so i think it s time for us to have a toast let s have a toast for the douchebags let s have a toast for the assholes let s have a toast for the scumbags every one of them that i know let s have a toast for the jerk-offs that ll never take work off baby, i got a plan run away fast as you can run away from me, baby ah, run away run away from me, baby run away when it starts to get crazy then run away babe, i got a plan, run away as fast as you can run away from me, baby run away run away from me, baby run away when it starts to get crazy why can t she just run away? baby, i got a plan run away as fast as you can  twenty-four seven, three sixty-five, pussy stays on my mind i-i-i-i did it, alright, alright, i admit it now pick your next move, you could leave or live with it ichabod crane with that motherfuckin  top off split and go where?  back to wearing knockoffs? haha, knock it off, neimans, shop it off let s talk over mai tais, waitress, top it off hoes like vultures, wanna fly in your freddy loafers you can t blame  em, they ain t never seen versace sofas every bag, every blouse, every bracelet comes with a price tag, baby, face it you should leave if you can t accept the basics plenty hoes in the baller-nigga matrix invisibly set, the rolex is faceless i m just young, rich, and tasteless, p never was much of a romantic i could never take the intimacy and i know i did damage cause the look in your eyes is killing me i guess you knew of that advantage cause you could blame me for everything and i don t know how i ma manage if one day, you just up and leave and i always find, yeah, i always find something wrong you been puttin  up with my shit just way too long i m so gifted at finding what i don t like the most so i think it s time for us to have a toast let s have a toast for the douchebags let s have a toast for the assholes let s have a toast for the scumbags every one of them that i know let s have a toast for the jerk-offs that ll never take work off baby, i got a plan run away fast as you can"
