Title,Artist,Year,Ranking,URL,Lyrics
My Generation,The Who,1965,11,https://www.genius.com/The-Who-My-Generation-lyrics," people try to put us d-down just because we get around things they do look awful c-c-cold i hope i die before i get old this is my generation this is my generation, baby why don t you all f-f-fade away and don t try to dig what we all s-s-say i m not tryin  to cause a big s-s-sensation i m just talkin   bout my g-g-g-generation my generation this is my generation, baby my, my, my, my, my ge—my, my, my why don t you all f-fade away and don t try to d-dig what we all s-s-s-s-s-say i m not tryin  to cause a big sensation i m just talkin   bout my g-generation this is my generation this is my generation, baby my, my, ge-generation my, my, my, my generation people try to put us d-down just because we g-g-get around things they do look awful c-c-cold yeah, i hope i die before i get old this is my generation this is my generation, baby my, my, my ge-ge-generation  my generation my generation this is my generation, baby this is my generation this is my generation this is my generation this is my generation"
A Change Is Gonna Come,Sam Cooke,1964,12,https://www.genius.com/Sam-Cooke-A-Change-Is-Gonna-Come-lyrics," i was born by the river in a little tent oh, and just like the river, i ve been runnin ever since it s been a long a long time comin , but i know a change gon  come oh, yes it will it s been too hard livin but i m afraid to die cause i don t know what s up there beyond the sky it s been a long a long time comin , but i know a change gon  come oh, yes it will i go to the movie and i go downtown somebody keep tellin  me  don t hang around  it s been a long a long time comin , but i know a change gon  come oh, yes it will then i go to my brother and i say,  brother, help me please but he winds up knockin  me back down on my knees lor , there been times that i thought i couldn t last for long but now i think i m able to carry on it s been a long a long time comin , but i know a change gon  come oh, yes it will"
Yesterday,The Beatles,1965,13,https://www.genius.com/The-Beatles-Yesterday-lyrics," yesterday all my troubles seemed so far away now it looks as though they re here to stay oh, i believe in yesterday suddenly i m not half the man i used to be there s a shadow hanging over me oh, yesterday came suddenly why she had to go i don t know, she wouldn t say i said something wrong now i long for yesterday yesterday love was such an easy game to play now i need a place to hide away oh, i believe in yesterday why she had to go i don t know, she wouldn t say i said something wrong now i long for yesterday yesterday love was such an easy game to play now i need a place to hide away oh, i believe in yesterday mmm-mmm-mmm-mmm-mmm, hmm-hmm"
Blowin' in the Wind,Bob Dylan,1963,14,https://www.genius.com/Bob-Dylan-Blowin-in-the-Wind-lyrics," how many roads must a man walk down before you call him a man? how many seas must the white dove sail before she sleeps in the sand? yes, and how many times must the cannonballs fly before they re forever banned? the answer, my friend, is blowin  in the wind the answer is blowin  in the wind yes, and how many years can a mountain exist before it is washed to the sea? yes, and how many years can some people exist before they re allowed to be free? yes, and how many times can a man turn his head and pretend that he just doesn t see? the answer, my friend, is blowin  in the wind the answer is blowin  in the wind yes, and how many times must a man look up before he can see the sky? yes, and how many ears must one man have before he can hear people cry? yes, and how many deaths will it take till he knows that too many people have died? the answer, my friend, is blowin  in the wind the answer is blowin  in the wind"
London Calling,The Clash,1980,15,https://www.genius.com/The-Clash-London-Calling-lyrics," london calling to the faraway towns now war is declared, and battle come down london calling to the underworld come outta the cupboard, ya boys and girls london calling, now don t look to us phony beatlemania has bitten the dust london calling, see we ain t got no swing except for the ring of that truncheon thing the ice age is coming, the sun s zoomin  in meltdown expected, the wheat is growin  thin engines stop running, but i have no fear cause london is drownin , and i live by the river to the imitation zone forget it, brother, you can go it alone london calling to the zombies of death quit holdin  out and draw another breath london calling, and i don t wanna shout but while we were talking, i saw you noddin  out london calling, see we ain t got no hyde cept for that one with the yellowy eyes the ice age is coming, the sun s zoomin  in engines stop running, the wheat is growin  thin a nuclear error, but i have no fear cause london is drowning, and i, i live by the river the ice age is coming, the sun s zoomin  in engines stop running, the wheat is growin  thin a nuclear error, but i have no fear cause london is drowning, an  i, i live by the river ooh, ooh, ooh, ooh ooh, ooh, ooh now get this yes, i was there, too and ya know what they said?  well, some of it was true at the top of the dial and after all this, won t you give me a smile?  i never felt so much alike, alike, alike"
I Want to Hold Your Hand,The Beatles,1963,16,https://www.genius.com/The-Beatles-I-Want-to-Hold-Your-Hand-lyrics," oh, yeah, i ll tell you something i think you ll understand when i ll say that something i wanna hold your hand i wanna hold your hand i wanna hold your hand oh, please, say to me you ll let me be your man and please, say to me you ll let me hold your hand now, let me hold your hand i wanna hold your hand and when i touch you i feel happy inside it s such a feeling that, my love i can t hide i can t hide i can t hide yeah, you got that something i think you ll understand when i ll say that something i want to hold your hand i wanna hold your hand i wanna hold your hand and when i touch you i feel happy inside it s such a feeling that, my love i can t hide i can t hide i can t hide yeah, you got that something i think you ll understand when i ll feel that something i wanna hold your hand i wanna hold your hand i wanna hold your hand i wanna hold your hand"
Purple Haze,The Jimi Hendrix Experience,1967,17,https://www.genius.com/The-Jimi-Hendrix-Experience-Purple-Haze-lyrics," purple haze all in my brain lately things, they don t seem the same acting funny, but i don t know why scuse me while i kiss the sky purple haze all around don t know if i m coming up or down am i happy or in misery? whatever it is, that girl put a spell on me help me!  help me! ah no, no yeah!  purple haze all in my eyes don t know if it s day or night you got me blowing, blowing my mind is it tomorrow, or just the end of time? no, help me no, yeah purple haze oh no, no oh, help me tell me, tell me can t go on like this you make me blow my mind no, no, no no, no, purple haze"
Maybellene,Chuck Berry,1955,18,https://www.genius.com/Chuck-Berry-Maybellene-lyrics," maybellene, why can t you be true? oh, maybellene, why can t you be true? you done started doing the things you used to do as i was motorvatin  over the hill i saw maybellene in a coupe de ville a cadillac a-rollin  on the open road nothin  will outrun my v8 ford the cadillac doin   bout ninety-five we was bumper to bumper, rollin  side to side maybellene, why can t you be true? oh, maybellene, why can t you be true? you done started back doing the things you used to do a cadillac pulled up to one hundred and four the ford got hot and wouldn t do no more it done got a cloud and started to rain i tooted my horn for the passin  lane the rain water blowin  all under my hood i knew that was doin  my motor good maybellene, why can t you be true? oh, maybellene, why can t you be true? you done started back doing the things you used to do oh maybellene, why can t you be true oh maybellene, why can t you be true you done started back doing the things you used to do the motor cooled down, the heat went down and that s when i heard that highway sound the cadillac a-sittin  like a ton of lead a hundred and ten a half a mile ahead the cadillac lookin  like it s sittin  still and i caught maybellene at the top of the hill maybellene, why can t you be true? oh, maybellene, why can t you be true? you done started back doing the things you used to do"
Hound Dog,Elvis Presley,1956,19,https://www.genius.com/Elvis-Presley-Hound-Dog-lyrics," you ain t nothin  but a hound dog cryin  all the time you ain t nothin  but a hound dog cryin  all the time well, you ain t never caught a rabbit and you ain t no friend of mine when they said you was high-classed well, that was just a lie yeah, they said you was high-classed well, that was just a lie yeah, you ain t never caught a rabbit and you ain t no friend of mine you ain t nothin  but a hound dog cryin  all the time you ain t nothin  but a hound dog cryin  all the time well, you ain t never caught a rabbit and you ain t no friend of mine ahh, ahh ahh, ahh when they said you was high-classed well, that was just a lie yeah, they said you was high-classed well, that was just a lie well, you ain t never caught a rabbit and you ain t no friend of mine ahh, ahh ahh, ahh when they said you was high-classed well, that was just a lie you know, they said you was high-classed well, that was just a lie yeah, you ain t never caught a rabbit and you ain t no friend of mine you ain t nothin  but a hound dog cryin  all the time you ain t nothin  but a hound dog cryin  all the time well, you ain t never caught a rabbit you ain t no friend of mine"
Let It Be,The Beatles,1970,20,https://www.genius.com/The-Beatles-Let-It-Be-lyrics," when i find myself in times of trouble mother mary comes to me speaking words of wisdom let it be and in my hour of darkness she is standing right in front of me speaking words of wisdom let it be let it be, let it be let it be, let it be whisper words of wisdom let it be and when the broken-hearted people living in the world agree there will be an answer let it be for though they may be parted there is still a chance that they will see there will be an answer let it be let it be, let it be let it be, let it be yeah, there will be an answer let it be let it be, let it be let it be, let it be whisper words of wisdom let it be let it be, let it be let it be, yeah, let it be whisper words of wisdom let it be and when the night is cloudy there is still a light that shines on me shine until tomorrow let it be i wake up to the sound of music mother mary comes to me speaking words of wisdom let it be, yeah let it be, let it be let it be, yeah, let it be oh, there will be an answer let it be let it be, let it be let it be, yeah, let it be oh, there will be an answer let it be let it be, let it be let it be, yeah, let it be whisper words of wisdom let it be"
Born to Run,Bruce Springsteen,1975,21,https://www.genius.com/Bruce-Springsteen-Born-to-Run-lyrics," in the day, we sweat it out on the streets of a runaway american dream at night, we ride through mansions of glory in suicide machines sprung from cages out on highway 9 chrome wheeled, fuel injected and steppin  out over the line oh, baby this town rips the bones from your back it s a death trap, it s a suicide rap we gotta get out while we re young cause tramps like us, baby we were born to run yes, girl, we were wendy let me in, i wanna be your friend i want to guard your dreams and visions just wrap your legs  round these velvet rims and strap your hands across my engines together we could break this trap we ll run  til we drop, baby we ll never go back oh, will you walk with me out on the wire?  cause baby i m just a scared and lonely rider but i gotta know how it feels i want to know if love is wild, babe i want to know if love is real oh, can you show me?  beyond the palace, hemi-powered drones scream down the boulevard the girls comb their hair in rearview mirrors and the boys try to look so hard the amusement park rises bold and stark kids are huddled on the beach in a mist i wanna die with you, wendy, on the streets tonight in an everlasting kiss huh the highways jammed with broken heroes on a last chance power drive everybody s out on the run tonight but there s no place left to hide together, wendy, we can live with the sadness i ll love you with all the madness in my soul oh, someday girl, i don t know when we re gonna get to that place where we really want to go, and we ll walk in the sun but  til then, tramps like us baby, we were born to run oh honey, tramps like us baby, we were born to run come on wendy, tramps like us baby, we were born to run woah-oh-woah hm-hm-hm oh-oh-oh-oh, oh-oh-oh woah-oh-oh-oh-oh-oh hm-hm-hm woah-oh-woah oh-oh-oh woah-oh-oh-oh-oh-oh"
Be My Baby,The Ronettes,1963,22,https://www.genius.com/The-Ronettes-Be-My-Baby-lyrics," the night we met i knew i needed you so and if i had the chance i d never let you go so won t you say you love me? i ll make you so proud of me we ll make  em turn their heads every place we go so won t you, please be my little baby?  say you ll be my darlin  be my baby now whoa-oh-oh-oh i ll make you happy, baby, just wait and see for every kiss you give me, i ll give you three oh, since the day i saw you i have been waiting for you you know i will adore you  til eternity so won t you, please be my little baby?  say you ll be my darlin  be my baby now whoa-oh-oh-oh so c mon and be be my little baby?  say you ll be my darlin  be my baby now oh-oh-oh-oh be my little baby?  oh-oh-oh oh woah-oh-oh-oh oh-oh-oh oh be my baby now woah-oh-oh-oh"
In My Life,The Beatles,1965,23,https://www.genius.com/The-Beatles-In-My-Life-lyrics," there are places i ll remember all my life, though some have changed some forever, not for better some have gone and some remain all these places had their moments with lovers and friends, i still can recall some are dead and some are living in my life, i ve loved them all but of all these friends and lovers there is no one compares with you and these memories lose their meaning when i think of love as something new though i know i ll never lose affection for people and things that went before i know i ll often stop and think about them in my life, i love you more though i know i ll never lose affection for people and things that went before i know i ll often stop and think about them in my life, i love you more in my life, i love you more"
People Get Ready,The Impressions,1965,24,https://www.genius.com/The-Impressions-People-Get-Ready-lyrics," people get ready, there s a train a-comin you don t need no baggage, you just get on board all you need is faith to hear the diesels hummin don t need no ticket, you just thank the lord so, people get ready for the train to jordan picking up passengers coast to coast faith is the key, open the doors and board  em there s hope for all among those loved the most there ain t no room for the hopeless sinner who would hurt all mankind just to save his own, believe me now have pity on those whose chances grow thinner for there s no hiding place against the kingdom s throne so, people get ready, there s a train a-comin you don t need no baggage, you just get on board all you need is faith to hear the diesels hummin don t need no ticket, you just thank the lord"
God Only Knows,The Beach Boys,1966,25,https://www.genius.com/The-Beach-Boys-God-Only-Knows-lyrics," i may not always love you but long as there are stars above you you never need to doubt it i ll make you so sure about it god only knows what i d be without you if you should ever leave me well, life would still go on, believe me the world could show nothing to me so what good would living do me? god only knows what i d be without you ooh, ooh do, do, do, do, do, do, do bow, buh-bow, buh-bow, buh-bow buh-bow, buh-bow, buh-bow buh-bow, buh-bow, buh-bow, buh-bow god only knows what i d be without you if you should ever leave me well, life would still go on, believe me the world could show nothing to me so what good would living do me? god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you god only knows what i d be without you "
(Sittin' on) the Dock of the Bay,Otis Redding,1968,26,https://www.genius.com/Otis-Redding-Sittin-on-the-Dock-of-the-Bay-lyrics," sittin  in the mornin  sun i ll be sittin  when the evenin  come watching the ships roll in and then i watch  em roll away again, yeah i m sittin  on the dock of the bay watching the tide roll away ooh, i m just sittin  on the dock of the bay wastin  time i left my home in georgia headed for the  frisco bay cause i ve had nothing to live for and look like nothin s gonna come my way so i m just gonna sit on the dock of the bay watching the tide roll away ooh, i m sittin  on the dock of the bay wastin  time look like nothing s gonna change everything still remains the same i can t do what ten people tell me to do so i guess i ll remain the same, yes sittin  here resting my bones and this loneliness won t leave me alone it s two thousand miles i roamed just to make this dock my home now, i m just gonna sit at the dock of the bay watching the tide roll away ooh-wee, i m sittin  on the dock of the bay wastin  time*whistling*"
Layla,Derek and the Dominos,1970,27,https://www.genius.com/Derek-and-the-Dominos-Layla-lyrics," what ll you do when you get lonely and nobody s waiting by your side? you ve been runnin  and hidin  much too long you know it s just your foolish pride layla you ve got me on my knees layla i m begging, darling, please layla darling, won t you ease my worried mind? i tried to give you consolation when your old man had let you down like a fool, i fell in love with you it turned my whole world upside down layla you ve got me on my knees layla i m begging, darling, please layla darling, won t you ease my worried mind?  so make the best of the situation before i finally go insane please, don t say we ll never find a way and tell me all my love s in vain layla you ve got me on my knees layla i m begging, darling, please layla darling, won t you ease my worried mind? layla, you ve got me on my knees layla i m begging, darling, please layla darling, won t you ease my worried mind? "
A Day in the Life,The Beatles,1967,28,https://www.genius.com/The-Beatles-A-Day-in-the-Life-lyrics," i read the news today, oh boy about a lucky man who made the grade and though the news was rather sad well, i just had to laugh i saw the photograph he blew his mind out in a car he didn t notice that the lights had changed a crowd of people stood and stared they d seen his face before nobody was really sure if he was from the house of lords i saw a film today, oh boy the english army had just won the war a crowd of people turned away but i just had to look having read the book i d love to turn you on woke up, fell out of bed dragged a comb across my head found my way downstairs and drank a cup and looking up i noticed i was late found my coat and grabbed my hat made the bus in seconds flat found my way upstairs and had a smoke and somebody spoke and i went into a dream ah, ah-ah-ah ah-ah-ah, ah-ah-ah ah-ah-ah, ah, ah-ah-ah ah-ah-ah, ah-ah i read the news today, oh boy four thousand holes in blackburn, lancashire and though the holes were rather small they had to count them all now they know how many holes it takes to fill the albert hall i d love to turn you on            "
Help!,The Beatles,1965,29,https://www.genius.com/The-Beatles-Help-lyrics,"  i need somebody not just anybody you know i need someone when i was younger, so much younger than today i never needed anybody s help in any way but now these days are gone, i m not so self assured now i find i ve changed my mind and opened up the doors help me if you can, i m feeling down and i do appreciate you being  round help me get my feet back on the ground won t you please, please help me? and now my life has changed in oh so many ways my independence seems to vanish in the haze but every now and then i feel so insecure i know that i just need you like i ve never done before help me if you can, i m feeling down and i do appreciate you being  round help me get my feet back on the ground won t you please, please help me?  when i was younger, so much younger than today i never needed anybody s help in any way but now these days are gone, i m not so self assured now i find i ve changed my mind and opened up the doors help me if you can, i m feeling down and i do appreciate you being  round help me get my feet back on the ground won t you please, please help me? help me!  help me, ooh"
I Walk the Line,Johnny Cash,1956,30,https://www.genius.com/Johnny-Cash-I-Walk-the-Line-lyrics," i keep a close watch on this heart of mine i keep my eyes wide open all the time i keep the ends out for the tie that binds because you re mine, i walk the line i find it very, very easy to be true i find myself alone when each day s through yes, i ll admit that i m a fool for you because you re mine, i walk the line as sure as night is dark and day is light i keep you on my mind both day and night and happiness i ve known proves that it s right because you re mine, i walk the line you ve got a way to keep me on your side you give me cause for love that i can t hide for you, i know i d even try to turn the tide because you re mine, i walk the line i keep a close watch on this heart of mine i keep my eyes wide open all the time i keep the ends out for the tie that binds because you re mine, i walk the line"
